Daily,Acc
15.6,15348.1
16.9,15365.0
17.7,15382.7
19.4,15402.1
19.4,15421.5
19.0,15440.5
17.1,15457.6
18.3,15475.9
16.9,15492.8
16.9,15509.699999999999
16.9,15526.599999999999
17.1,15543.699999999999
18.6,15562.3
21.0,15583.3
21.4,15604.699999999999
21.6,15626.3
24.3,15650.599999999999
24.1,15674.699999999999
25.4,15700.099999999999
26.7,15726.8
27.7,15754.5
28.7,15783.2
31.9,15815.1
32.1,15847.2
34.9,15882.1
38.3,15920.4
39.3,15959.699999999999
39.9,15999.599999999999
40.6,16040.199999999999
41.3,16081.499999999998
43.6,16125.099999999999
45.7,16170.8
47.0,16217.8
49.3,16267.099999999999
50.1,16317.199999999999
53.7,16370.9
60.6,16431.5
64.7,16496.2
70.4,16566.6
74.1,16640.699999999997
78.9,16719.6
84.4,16804.0
90.7,16894.7
99.0,16993.7
109.1,17102.8
120.0,17222.8
136.3,17359.1
146.1,17505.199999999997
158.4,17663.6
168.0,17831.6
183.0,18014.6
197.4,18212.0
212.3,18424.3
227.0,18651.3
245.7,18897.0
250.7,19147.7
268.0,19415.7
278.0,19693.7
285.7,19979.4
283.3,20262.7
276.3,20539.0
263.7,20802.7
250.9,21053.600000000002
232.1,21285.7
216.4,21502.100000000002
208.3,21710.4
203.9,21914.300000000003
207.6,22121.9
216.7,22338.600000000002
235.0,22573.600000000002
244.6,22818.2
255.6,23073.8
258.0,23331.8
271.0,23602.8
273.7,23876.5
277.3,24153.8
274.9,24428.7
291.3,24720.0
298.6,25018.6
308.4,25327.0
318.6,25645.6
327.6,25973.199999999997
329.0,26302.199999999997
333.0,26635.199999999997
328.7,26963.899999999998
324.1,27287.999999999996
326.0,27614.0
324.9,27938.9
315.3,28254.2
319.0,28573.2
316.4,28889.600000000002
333.4,29223.000000000004
347.9,29570.900000000005
358.7,29929.600000000006
370.0,30299.600000000006
400.3,30699.900000000005
412.9,31112.800000000007
431.1,31543.900000000005
443.9,31987.800000000007
464.1,32451.900000000005
476.7,32928.600000000006
478.0,33406.600000000006
475.9,33882.5
476.1,34358.6
476.0,34834.6
466.1,35300.7
458.9,35759.6
453.3,36212.9
468.7,36681.6
467.0,37148.6
481.7,37630.299999999996
487.1,38117.399999999994
497.0,38614.399999999994
497.7,39112.09999999999
508.9,39620.99999999999
507.0,40127.99999999999
516.3,40644.299999999996
522.9,41167.2
536.4,41703.6
543.3,42246.9
562.0,42808.9
558.6,43367.5
563.4,43930.9
571.3,44502.200000000004
574.1,45076.3
575.4,45651.700000000004
589.9,46241.600000000006
582.1,46823.700000000004
586.7,47410.4
588.0,47998.4
592.1,48590.5
598.9,49189.4
608.0,49797.4
619.7,50417.1
635.6,51052.7
660.4,51713.1
666.9,52380.0
663.9,53043.9
664.9,53708.8
658.0,54366.8
647.9,55014.700000000004
653.3,55668.00000000001
660.6,56328.600000000006
675.3,57003.90000000001
657.7,57661.600000000006
666.3,58327.90000000001
683.3,59011.20000000001
706.1,59717.30000000001
734.9,60452.20000000001
760.9,61213.10000000001
776.1,61989.200000000004
809.6,62798.8
835.1,63633.9
868.9,64502.8
894.1,65396.9
922.7,66319.6
944.3,67263.90000000001
972.0,68235.90000000001
1008.0,69243.90000000001
1022.9,70266.8
988.7,71255.5
966.7,72222.2
930.0,73152.2
901.7,74053.9
872.0,74925.9
856.3,75782.2
829.0,76611.2
826.1,77437.3
832.6,78269.90000000001
816.7,79086.6
773.7,79860.3
754.9,80615.2
728.9,81344.09999999999
696.1,82040.2
675.4,82715.59999999999
634.4,83349.99999999999
611.0,83960.99999999999
605.1,84566.09999999999
590.9,85156.99999999999
569.7,85726.69999999998
563.0,86289.69999999998
554.4,86844.09999999998
540.6,87384.7
520.6,87905.3
497.9,88403.2
469.9,88873.09999999999
450.7,89323.79999999999
432.6,89756.4
416.1,90172.5
401.3,90573.8
397.6,90971.40000000001
391.0,91362.40000000001
379.9,91742.3
372.9,92115.2
358.3,92473.5
351.1,92824.6
340.4,93165.0
333.3,93498.3
337.7,93836.0
337.4,94173.4
